# x_index original_841_index pi_of_i y_family squared_error euclidean_error order_rank
195 195 239 M1 0.021984955790338757 0.14827324704861211 762
196 196 520 M2 0.0028929663566000748 0.053786302685721717 539
197 197 149 M1 0.00030534901369108007 0.017474238572569623 171
198 198 836 E3 0.35697572677996714 0.5974744570104793 837
199 199 484 M2 0.00054563087990810045 0.023358743114904545 346
200 200 169 M1 0.0055808076520153524 0.07470480340657723 584
201 201 625 M2 0.00044135023223419246 0.021008337207741895 267
202 202 775 M2 0.00015051121341875094 0.012268301162701825 71
203 203 395 M1 0.0068294517192777878 0.082640496847960612 593
204 204 711 M2 0.035367715145192352 0.1880630616181507 802
205 205 522 M2 0.0005475572857542015 0.023399942003223033 348
206 206 374 M1 0.00034511738438045139 0.018577335233570271 199
207 207 582 M2 0.00050133114228070018 0.022390425236710004 317
208 208 670 M2 0.00026040348566420935 0.016137022205605634 133
209 209 671 M2 0.00041503090880094605 0.020372307400020894 246
210 210 579 M2 0.00048415115085078146 0.022003434978447829 309
211 211 371 M1 0.0013099672352906214 0.036193469511648389 473
212 212 717 M2 0.00058529278822392315 0.024192825139365663 372
213 213 706 M2 0.00034561748361166265 0.018590790290131904 200
214 214 398 M1 0.022692023119718886 0.15063871720019023 768
215 215 770 M2 0.00014248548099073083 0.011936728236444476 68
216 216 559 M2 0.0007052581806043861 0.02655669747171862 412
217 217 721 M2 0.00051798304245620388 0.022759240814583512 330
218 218 789 M2 0.026860880212698897 0.16389289250208167 785
219 219 129 M1 0.0092855218981433615 0.096361412910684133 623
220 220 132 M1 0.016371574508546639 0.12795145371798883 701
221 221 262 M1 0.0014730604542878777 0.038380469698635497 479
222 222 473 M2 0.000475138924803263 0.021797681638267473 302
223 223 766 M2 0.0081765611091750082 0.090424339141488938 611
224 224 563 M2 0.0032056793685631166 0.056618719241635238 551
225 225 566 M2 0.00213508105403007 0.046206937293333673 510
226 226 597 M2 0.0035836436082789516 0.059863541561445827 555
227 227 53 M1 0.00042166355898097183 0.020534448105098219 251
228 228 259 M1 0.00034814685329525691 0.018658693772481954 202
229 229 135 M1 0.0086496103228293746 0.093003281247649394 618
230 230 221 M1 0.00022933377233121471 0.015143770083146888 117
231 231 8 E1 4.6584602905882743e-05 0.006825291415454929 16
232 232 728 M2 0.0018424975879038031 0.042924323965600239 497
233 233 233 M1 0.00078916505426610147 0.028092081700473916 429
234 234 56 M1 0.01855871805538923 0.13623038594744283 736
235 235 650 M2 0.00052978030555771302 0.023016956913495604 338
236 236 116 M1 0.0074581088189856759 0.086360342860514833 600
237 237 247 M1 0.021731351966914583 0.14741557572697189 760
238 238 535 M2 0.00030843429505608651 0.017562297544913834 174
239 239 60 M1 0.016416917987411309 0.12812852136589772 702
240 240 436 M2 8.7683163315400233e-05 0.0093639288397232186 51
241 241 437 M2 0.00039421928096856288 0.019854956080751298 229
242 242 61 M1 0.00085808894690292035 0.029293155291004763 437
243 243 530 M2 0.0003405673930013352 0.018454468103994089 193
244 244 242 M1 0.00070240990957069456 0.026503016989971057 411
245 245 655 M2 0.0022143425151003489 0.047056800944181798 512
